Name,HotelURL,HotelID,Address,Price,ImgURL
Hotel Seattle,/ShowUserReviews-g60878-d100506-Reviews-Hotel_Seattle-Seattle_Washington.html,100506,"  315 Seneca St., Seattle, WA 98101   ",$96 - $118*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/7d/22/7d22f3e6c0682df4f389acd30fe4e3d45large.jpg
,http://www.tripadvisor.com/ShowUserReviews-g60878-d1217974-r22522839-Deca_Hotel-Seattle_Washington.html,1217974,,Unkonwn,
Kendall Hotel and Suites,/ShowUserReviews-g34438-d240124-Reviews-Kendall_Hotel_and_Suites-Miami_Florida.html,240124,"  9100 North Kendall Drive, Miami, FL 33176   ",$124 - $181*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/41/26/4126535dd6c83348b47318c03433a1d66large.jpg
San Diego Marriott Mission Valley,/ShowUserReviews-g60750-d80232-Reviews-San_Diego_Marriott_Mission_Valley-San_Diego_California.html,2515575,"  8757 Rio San Diego Drive, San Diego, CA 92108   ",$158 - $248*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/af/31/af315f083868045b55af52277e8edf711large.jpg
Hotel Banys Orientals,/ShowUserReviews-g187497-d287670-Reviews-Hotel_Banys_Orientals-Barcelona_Catalonia.html,287670,"c/ Argenteria 37, 08003 Barcelona, Spain ",$115 - $131*,http://media-cdn.tripadvisor.com/media/photo-s/01/05/0a/44/barcellona.jpg
Meninas Hotel,/ShowUserReviews-g187514-d550994-Reviews-Meninas_Hotel-Madrid.html,550994,"Campomanes 7, 28013 Madrid, Spain ",$111 and up*,http://media-cdn.tripadvisor.com/media/photo-s/02/46/1c/33/twin-room-habitacion.jpg
,http://www.tripadvisor.com/ShowUserReviews-g297697-d655424-r7674138-Balisandy_Cottages-Kuta_Bali.html,655424,,Unkonwn,
,http://www.tripadvisor.com/ShowUserReviews-g150800-d677703-r20087386-Plaza_Madrid-Mexico_City_Central_Mexico_and_Gulf_Coast.html,677703,,Unkonwn,
BEST WESTERN PLUS Pioneer Square Hotel,/ShowUserReviews-g60878-d72572-Reviews-BEST_WESTERN_PLUS_Pioneer_Square_Hotel-Seattle_Washington.html,72572,"  77 Yesler Way, Seattle, WA 98104-2530   ",$117 - $189*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/51/f5/51f5d5761c9d693626e59f8178be15442large.jpg
BEST WESTERN Loyal Inn,/ShowUserReviews-g60878-d72579-Reviews-BEST_WESTERN_Loyal_Inn-Seattle_Washington.html,72579,"  2301 8th Ave., Seattle, WA 98121-1907   ",$117 - $218*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/41/cd/41cd06abe79f00387282e20a523b1e156large.jpg
BEST WESTERN PLUS Executive Inn,/ShowUserReviews-g60878-d72586-Reviews-BEST_WESTERN_PLUS_Executive_Inn-Seattle_Washington.html,72586,"  200 Taylor Ave. N, Seattle, WA 98109-5016   ",$115 - $229*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/00/9e/009ef0ae5833a24ed8dcee5bc15d4f8b9large.jpg
Comfort Inn & Suites Seattle,/ShowUserReviews-g60878-d72598-Reviews-Comfort_Inn_Suites_Seattle-Seattle_Washington.html,72598,"  13700 Aurora Ave N, Seattle, WA 98133   ",$85 - $125*,http://media-cdn.tripadvisor.com/media/photo-s/02/3f/e6/14/exterior.jpg
Christopher's Inn,/ShowUserReviews-g32143-d73393-Reviews-Christopher_s_Inn-Calistoga_Napa_Valley_California.html,73393,"1010 Foothill Blvd., Calistoga, CA 94515 ",$279 - $449*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/cc/3a/cc3ad881d5bf86180a65fe296b44a15e3large.jpg
BEST WESTERN Market Center,/ShowUserReviews-g55711-d73644-Reviews-BEST_WESTERN_Market_Center-Dallas_Texas.html,73644,"2023 Market Center Boulevard, Dallas, TX 75207 ",$79 - $140*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/38/1d/381dd2e86001ae45327ced95456b4d115large.jpg
BEST WESTERN Airport Inn,/ShowUserReviews-g31310-d73706-Reviews-BEST_WESTERN_Airport_Inn-Phoenix_Arizona.html,73706,"2425 South 24th Street, Phoenix, AZ 85034 ",$90 - $118*,http://media-cdn.tripadvisor.com/media/photo-s/02/3f/96/a5/exterior.jpg
Super 8 Phoenix,/ShowUserReviews-g31310-d73712-Reviews-Super_8_Phoenix-Phoenix_Arizona.html,73712,"17211 North Black Canyon Hwy, Phoenix, AZ 85023 ",$30 - $51*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/ad/57/ad57afcad9d3b12167cd6d8c1bb4ccf64large.jpg
Lexington Hotel Central Phoenix,/ShowUserReviews-g31310-d73718-Reviews-Lexington_Hotel_Central_Phoenix-Phoenix_Arizona.html,73718,"1100 N Central Ave, Phoenix, AZ 85004 ",$77 - $93*,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/f1/4e/f14e655475fde40d0946705bc3a46aac3large.jpg
