Author,Date,ReviewID,Service,Cleanliness,"Business service (e.g., internet access)",Check in / front desk,Overall,Value,Sleep Quality,Rooms,Location
luvsroadtrips,"January 3, 2012",UR122476164,1.0,1.0,,,1.0,1.0,1.0,1.0,5.0
estelle e,"December 29, 2011",UR122239883,4.0,4.0,,,4.0,3.0,5.0,3.0,5.0
RobertEddy,"December 20, 2011",UR121931325,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0
James R,"October 30, 2011",UR119896310,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0
Shobha49,"September 14, 2011",UR118110693,1.0,,,,1.0,3.0,,1.0,5.0
PalomitaBlanca,"September 6, 2011",UR117757669,4.0,4.0,,,3.0,3.0,3.0,,
Qualnurse,"September 6, 2011",UR117730450,4.0,4.0,,,4.0,5.0,4.0,,
Debbie R,"August 27, 2011",UR117303221,2.0,2.0,,,1.0,1.0,2.0,,
travelitch_gal,"August 23, 2011",UR117119391,4.0,4.0,,,3.0,4.0,3.0,,
Khaap,"August 10, 2011",UR116501344,4.0,5.0,,,4.0,5.0,5.0,,
Trini007,"July 29, 2011",UR115948833,1.0,1.0,,,1.0,1.0,1.0,,
rtl2,"July 18, 2011",UR115478061,3.0,2.0,,,2.0,3.0,3.0,,
PDXKev,"June 7, 2011",UR112081499,1.0,1.0,,,1.0,1.0,2.0,,
lindseypie,"May 22, 2011",UR109391596,1.0,2.0,,,1.0,1.0,2.0,1.0,5.0
MaxStevens101,"April 17, 2011",UR104384177,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0
jcoken,"April 15, 2011",UR104097191,1.0,,,,1.0,,,,
SQLTravller,"November 17, 2010",UR87400346,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0
RTiara,"September 19, 2010",UR80212760,,,,,1.0,,,,
ATL012,"September 3, 2010",UR78164165,1.0,1.0,,,1.0,1.0,1.0,1.0,4.0
IRIS54,"September 1, 2010",UR77871111,1.0,2.0,,,1.0,1.0,1.0,1.0,4.0
IamTooch,"September 23, 2009",UR43920748,1.0,1.0,,,1.0,1.0,,1.0,5.0
ErinmarieX,"August 3, 2009",UR36594896,2.0,2.0,,,1.0,2.0,,2.0,5.0
aspenkmc,"May 19, 2009",UR30320295,2.0,1.0,,,1.0,1.0,,1.0,3.0
expressoparking,"October 22, 2008",UR21086254,3.0,1.0,,3.0,2.0,1.0,,1.0,5.0
teamfightingchicken,"October 6, 2008",UR20669752,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,5.0
cpalawSpokane,"October 1, 2008",UR20535289,3.0,2.0,,4.0,3.0,4.0,,2.0,5.0
19691972,"September 28, 2008",UR20452230,1.0,2.0,,1.0,1.0,1.0,,1.0,4.0
GrandmotherMia,"September 24, 2008",UR20340043,4.0,3.0,,3.0,3.0,3.0,,2.0,2.0
fiftee7chevy,"August 18, 2008",UR19090759,,2.0,,3.0,1.0,1.0,,1.0,2.0
GTSDenver,"July 25, 2008",UR18242318,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,4.0
malarie,"July 5, 2008",UR17554144,5.0,3.0,,5.0,3.0,3.0,,3.0,5.0
RiderCalifornia,"June 26, 2008",UR17238037,,,,,1.0,,,,
lalalalalalalal,"September 24, 2007",UR8885729,4.0,3.0,,5.0,4.0,4.0,,3.0,5.0
hutch30,"September 23, 2007",UR8862054,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,5.0
hibell,"September 12, 2007",UR8698929,3.0,3.0,1.0,3.0,2.0,2.0,,2.0,4.0
blackbearOxfordUK,"September 5, 2007",UR8656807,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,4.0
lizzy018,"July 19, 2007",UR8190161,3.0,1.0,,2.0,1.0,1.0,,1.0,5.0
ScoobySuse,"September 20, 2006",UR5824319,,,,,1.0,,,,
SueInManzanita,"September 17, 2006",UR5808628,,1.0,1.0,,1.0,1.0,,1.0,
kmter75,"August 28, 2006",UR5717919,5.0,3.0,,5.0,4.0,4.0,,5.0,5.0
A TripAdvisor Member,"February 8, 2006",UR4446350,2.0,1.0,,,1.0,1.0,,1.0,
hizonhizon,"October 23, 2005",UR4046031,3.0,2.0,,,2.0,3.0,,2.0,
A TripAdvisor Member,"June 23, 2005",UR3606876,4.0,4.0,,,3.0,4.0,,4.0,
crc11,"May 25, 2005",UR3499277,1.0,1.0,,,1.0,1.0,,1.0,
soledee,"June 28, 2004",UR2226877,,,,,2.0,,,,
A TripAdvisor Member,"September 6, 2003",UR1275352,3.0,2.0,,,1.0,1.0,,1.0,
A TripAdvisor Member,"May 15, 2003",UR997199,,,,,1.0,,,,
jawcuda,"November 3, 2002",UR738929,,,,,1.0,,,,
