acctno,total_mailed,ytd_transactions_2009,ytd_sales_2009,zhomeent,zmobav,zcredit,zhitech,ZHOMEENT01,ZMOBAV01,ZCREDIT01,ZHITECH01
WLPAQS,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
APSYYW,16,1,129,U,U,Y,Y,0.0,0.0,1.0,1.0
SDHLPH,16,1,477,Y,U,Y,Y,1.0,0.0,1.0,1.0
DLWWDP,12,3,1806,U,U,Y,Y,0.0,0.0,1.0,1.0
DGDSAD,16,7,2229,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLYGYA,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWLYGYA,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WWGGQHS,16,10,9285,U,U,Y,Y,0.0,0.0,1.0,1.0
WAWYWSQ,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
WLGLADQ,14,0,0,Y,Y,Y,Y,1.0,1.0,1.0,1.0
AQAPAHW,14,2,186,,,,,,,,
AQSLWWW,15,1,144,U,U,Y,Y,0.0,0.0,1.0,1.0
AAQHGYG,16,1,447,U,U,Y,Y,0.0,0.0,1.0,1.0
AAPGWLL,12,1,297,U,U,Y,Y,0.0,0.0,1.0,1.0
ASSLGYL,15,1,21,Y,Y,Y,Y,1.0,1.0,1.0,1.0
APSYWPW,11,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
AGHHLSA,15,1,99,U,U,Y,Y,0.0,0.0,1.0,1.0
AGHDSDH,10,0,0,Y,Y,Y,U,1.0,1.0,1.0,0.0
AGDLGLY,14,1,102,U,U,Y,Y,0.0,0.0,1.0,1.0
AHQWAHP,16,7,2298,Y,U,Y,Y,1.0,0.0,1.0,1.0
AHWYQAW,16,1,72,U,U,Y,Y,0.0,0.0,1.0,1.0
AHSWPSY,13,1,297,U,U,Y,Y,0.0,0.0,1.0,1.0
AHGWSLW,15,2,267,,,,,,,,
AYWLDLD,12,1,81,U,U,Y,Y,0.0,0.0,1.0,1.0
SQLPLLY,13,1,48,U,U,Y,Y,0.0,0.0,1.0,1.0
SWLGYWH,15,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SWLYGAS,13,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SASAAGW,9,0,0,,,,,,,,
SAPYPAP,13,5,28002,U,U,Y,Y,0.0,0.0,1.0,1.0
SSAHQHD,16,1,195,U,U,Y,U,0.0,0.0,1.0,0.0
SSGDDSW,8,2,570,U,U,Y,Y,0.0,0.0,1.0,1.0
SSHLLDD,16,1,258,,,,,,,,
SPQPSGL,8,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLAHQSS,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLSGGGW,11,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLPGWAP,15,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLPHPQS,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLPHHWY,12,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLLWAQH,8,1,441,U,U,Y,Y,0.0,0.0,1.0,1.0
SLLPSHL,16,0,0,Y,U,Y,U,1.0,0.0,1.0,0.0
SLLGLHY,15,0,0,U,U,U,U,0.0,0.0,0.0,0.0
SLLHSQS,16,2,1317,U,U,Y,Y,0.0,0.0,1.0,1.0
SLLHLGY,9,2,120,U,U,Y,Y,0.0,0.0,1.0,1.0
SLLYHYQ,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLGPSDQ,16,1,180,U,U,Y,Y,0.0,0.0,1.0,1.0
SLGPSDQ,16,1,180,U,U,Y,Y,0.0,0.0,1.0,1.0
SLGLQPW,8,1,579,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLGYLLH,13,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLGDSHS,9,1,33,U,U,Y,U,0.0,0.0,1.0,0.0
SLHWAQL,8,1,108,U,U,Y,Y,0.0,0.0,1.0,1.0
SLHSGHA,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLYSDWW,8,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLYPQSP,13,1,129,U,U,U,U,0.0,0.0,0.0,0.0
SLYPLAW,12,1,60,U,U,Y,Y,0.0,0.0,1.0,1.0
SLYLSYH,13,3,1152,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLYLDGL,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLYGSYL,10,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLYYDLW,10,0,0,U,U,Y,U,0.0,0.0,1.0,0.0
SLYDQGG,15,5,1518,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLYDLSY,16,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLDQQPD,7,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLDQASD,13,3,3120,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDQDHS,16,7,1866,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDWWQP,10,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDWDSQ,10,0,0,U,U,Y,U,0.0,0.0,1.0,0.0
SLDSAGG,12,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDSYYG,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDPQLY,13,1,3267,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLDPWHS,13,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SLDPASW,12,5,726,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDPASW,12,5,726,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDPSWP,7,1,69,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDPGSH,16,2,264,,,,,,,,
SLDLGSP,7,2,546,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDLGDW,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDLYHS,16,2,1815,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDGWGQ,16,2,570,Y,Y,Y,Y,1.0,1.0,1.0,1.0
SLDGLWH,16,2,987,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDGLDQ,16,2,96,U,U,Y,Y,0.0,0.0,1.0,1.0
SLDGGQY,16,0,0,Y,Y,Y,Y,1.0,1.0,1.0,1.0
SLDHAQQ,7,0,0,,,,,,,,
SLDYSHA,16,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQQGQY,9,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQADQW,16,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQSHDA,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQSYYS,13,1,201,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQPSWW,11,4,282,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQPSDP,16,2,273,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQPPQA,13,0,0,Y,U,Y,Y,1.0,0.0,1.0,1.0
SGQLSPA,15,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQLLYW,8,2,1104,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQLDSY,7,0,0,U,U,Y,Y,0.0,0.0,1.0,1.0
SGQHGHY,16,1,99,U,U,Y,Y,0.0,0.0,1.0,1.0
