ADJ_R2,SCORE
0.2822,36.06
0.2951,41.198
0.2971,75.651
0.302,45.36
0.3021,38.164
0.3088,39.53
0.30916,39.874
0.3098,122.656
0.3191,40.375
0.32,37.873
0.3505,38.856
0.3514,40.794
0.354,39.0979
0.3674,38.18
0.3726,37.66
0.3797,70.995
0.3838,39.33
0.3891,39.464
0.3954,36.755
0.3999,37.332
0.4006,36.674
0.401,35.88
0.4019,38.73
0.4023,38.531
0.404,36.56
0.4051,62.2941
0.4081,36.945
0.40869,39.62
0.4125,36.212
0.4128,37.145
0.4168,45.094
0.42,36.513
0.4267,35.661
0.42934,35.9
0.43071,37.747
0.43162,38.345
0.44087,39.391
0.4441,35.24
0.4445,36.78
0.44727,36.008
0.4499,34.63
0.4532,35.89
0.4588,42.839
0.4591,36.84
0.4978,33.836
