INDEX,TARGET_FLAG,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
2,1,1300,70053,68400,HomeImp,Other,7,0,2,121.83333333,0,14,
3,1,1500,13500,16700,HomeImp,Other,4,0,0,149.46666667,1,10,
4,1,1500,,,,,,,,,,,
5,0,1700,97800,112000,HomeImp,Office,3,0,0,93.333333333,0,14,
6,1,1700,30548,40320,HomeImp,Other,9,0,0,101.46600191,1,8,37.113613558
7,1,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,
8,1,1800,28502,43034,HomeImp,Other,11,0,0,88.766029879,0,8,36.884894093
11,1,2000,22608,,,,18,,,,,,
12,1,2000,20627,29800,HomeImp,Office,11,0,1,122.53333333,1,9,
13,1,2000,45000,55000,HomeImp,Other,3,0,0,86.066666667,2,25,
15,1,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
16,1,2200,24280,34687,HomeImp,Other,,0,1,300.86666667,0,8,
17,1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
18,1,2200,23030,,,,19,,,,,,3.7113122995
19,1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,
20,0,2300,102370,120953,HomeImp,Office,2,0,0,90.992533467,0,13,31.588503178
21,1,2300,37626,46200,HomeImp,Other,3,0,1,122.26666667,1,14,
22,1,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,
23,1,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,
24,1,2400,18000,,HomeImp,Mgr,22,,2,121.73333333,0,10,
25,1,2400,,17180,HomeImp,Other,,0,0,14.566666667,3,4,
26,1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.491080032,1,21,38.263600731
27,0,2400,98449,117195,HomeImp,Office,4,0,0,93.811774855,0,13,29.681827045
28,1,2500,15000,20200,HomeImp,,18,0,0,136.06666667,1,19,
29,1,2500,25116,36350,HomeImp,Other,10,1,2,276.96666667,0,9,
30,0,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,
31,0,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.73333333,0,12,
32,1,2800,50795,63100,HomeImp,Self,26,2,15,145.63333333,3,45,
33,1,2800,4000,60850,HomeImp,Other,16,4,0,112.63333333,2,9,
34,1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.33333333,2,26,
35,0,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.051136286
36,0,2900,104373,120702,HomeImp,Office,2,0,0,101.54029753,0,13,29.915859028
37,1,2900,7750,67996,HomeImp,Other,16,3,0,122.20466276,2,8,36.211347998
38,1,2900,61962,70915,DebtCon,Mgr,2,0,0,282.80165924,3,37,49.20639579
39,0,3000,104570,121729,HomeImp,Office,2,0,0,85.884371895,0,14,32.059783267
42,1,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,
43,1,3000,119826,193500,HomeImp,Other,8,0,0,130.03335846,0,27,
44,1,3000,20000,29750,DebtCon,Other,2,0,0,187.06666667,0,12,
45,1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
46,1,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,
