"INDEX","P_TARGET_FLAG"
1,-1.13
9,-0.3
10,-1.49
14,-1.72
40,-0.22
41,-0.3
47,-0.92
48,0.41
51,-1.47
54,1.42
56,-1.06
60,2.48
63,-1.25
69,2.17
70,-2.78
74,-1.85
77,-0.02
78,1.2
83,0.53
90,-1.25
93,-1.61
94,-1.4
98,-1
119,-2.72
120,-1.39
123,-1.32
134,-1.84
135,-0.03
138,-1.05
140,-1.27
142,1.41
144,-1.29
151,-0.71
153,-1.29
154,-1.33
167,-1.1
169,-1.85
171,-2.17
172,-1.24
178,-1.98
184,-1.2
193,-2.04
204,1.17
208,-0.95
213,1.35
217,0.42
220,-2.2
224,-1.22
226,-1.02
230,-0.73
241,-0.65
283,-1.16
285,-1.28
291,-1.26
293,-1.27
294,-0.68
300,-1.55
305,-1.33
334,-1.27
339,-1.57
340,-0.88
348,-1.74
350,-1.69
351,-1.96
357,0.07
367,-1.91
368,-3.2
369,-1.36
372,-2.45
377,-0.11
379,0.46
382,-0.7
387,-1.36
388,-1.38
396,-1.53
397,-2.24
398,-1.07
401,-2.38
403,-1.72
406,-2.11
407,-1.27
410,-0.93
411,-2.27
412,-3.65
414,-1.79
423,-2.56
436,-1.22
439,-2.83
440,-2.28
444,-1.98
449,-0.06
457,-1.05
475,-1.79
476,-3.41
479,-0.68
480,-0.74
481,-1.4
494,2.18
499,-1.3
501,-0.42
503,-1.02
506,-2.43
519,2.24
522,-1.35
533,0.23
536,-1.23
537,-1.22
541,-2.66
542,2.3
547,-2.01
548,-2.8
550,-1.5
554,-1.82
564,-1.03
566,-0.89
568,-0.68
578,-0.61
596,-0.91
599,-2.19
603,-1.8
605,-2.45
607,2.1
608,-1.94
614,-0.62
624,-2.18
626,-2.27
627,-2.03
637,-0.62
640,-1.75
644,-2.91
674,-1.33
680,-1.49
692,-0.62
699,-2.24
700,-0.99
706,-1.69
716,-2.38
721,-0.6
722,0.39
728,-1.64
729,-0.83
731,-1.12
745,-1.28
746,-1.86
749,-2.03
758,-3.08
760,-1.68
762,-0.42
763,-1.69
771,-1.52
774,-0.28
776,2.08
780,-2.02
788,1.47
789,-1.86
792,-1.11
796,-1.74
797,-1.75
798,3.14
811,-2.16
822,2.4
823,-1.21
824,-1.25
834,-1.31
835,-2.15
837,-0.77
839,-2.08
840,-2.45
852,-1.57
859,-1.61
861,-3.35
862,-1.82
863,-1.68
867,-3.15
871,-1.92
879,-1.51
884,-0.96
887,0.35
892,-0.58
901,-1.74
904,1.59
909,-2.09
918,-1.25
925,-2.39
932,-0.59
933,-1.39
940,1.66
951,-2.01
954,-0.91
976,-2.19
980,-1.23
981,0.34
983,-0.1
984,-1.86
985,-1.63
988,-1
989,-0.9
994,-0.62
995,-1
999,-1.52
1000,-1.13
1001,-1.75
1007,-2.8
1012,-1.98
1016,-1.7
1018,-0.13
1027,-2.21
1033,-1.51
1043,-2.61
1058,-0.03
1062,-1.06
1069,-1.34
1070,-1.77
1081,-1.79
1084,-1.19
1086,-1.62
1098,-2.44
1109,-1.55
1111,0.85
1115,-1.91
1117,-1.43
1120,-3.25
1146,-0.88
1150,-0.4
1156,-1.5
1160,-1.83
1166,-2.12
1169,-0.29
1172,-1.78
1173,-1.61
1174,-1.45
1176,2.27
1178,0.01
1184,-1.88
1187,0.81
1193,7
1196,2.24
1199,1.42
1207,-0.59
1210,-1.68
1218,-2.08
1219,-0.92
1223,2.33
1226,-1.1
1227,-1.19
1229,-1.83
1238,-1.29
1239,-2.23
1241,4.35
1244,-0.46
1246,-1.21
1248,-1.44
1249,-0.52
1250,0.68
1253,-1.46
1261,-2.9
1286,-2.2
1289,-1.65
1294,-2.77
1296,-1.09
1305,-1.74
1307,-2.23
1314,0.14
1320,-1.6
1323,-0.25
1324,-2.92
1328,-1.15
1349,-2.28
1353,-0.89
1356,-0.44
1363,-1.87
1366,-1.43
1371,-2.14
1372,-1.2
1376,-1.33
1383,-1.07
1389,-0.41
1390,-1.32
1393,-1.49
1410,-1.36
1411,-1.15
1413,-1.5
1414,-2.46
1416,-2.03
1421,-1.71
1429,-1.86
1430,-1.32
1431,-2.69
1436,-1.93
1437,-1.87
1442,-1.36
1445,-2.64
1450,-1.88
1457,-2.58
1463,1.05
1464,-2.66
1468,-1.23
1470,-0.17
1471,-3.99
1472,-1.23
1483,-1.48
1484,3.04
1491,-0.57
1495,-1.09
1501,-0.94
1507,-3.02
1512,-1.18
1514,-1.74
1517,0.34
1526,-1.65
1528,-1.66
1532,-1.55
1549,2.13
1552,-1.75
1555,-1.56
1556,-1.84
1559,-0.92
1564,-2.57
1585,-1.6
1586,-0.53
1590,1.87
1591,-1.51
1592,-1.45
1599,0.7
1601,2.22
1603,-1.69
1604,-1.46
1608,-1.48
1612,-2.93
1623,1.62
1626,-1.91
1634,1.55
1645,-1.54
1647,-1.9
1649,-1.53
1651,-2.74
1659,-0.94
1666,-2.23
1673,-0.21
1674,-0.66
1687,-2.54
1688,-0.9
1691,-1.46
1695,-1.03
1700,-0.54
1705,-0.49
1708,-2.06
1713,-1.42
1717,-0.88
1718,-1.77
1721,-1.67
1730,0.49
1737,0.42
1739,4.08
1748,-0.14
1749,1.72
1763,-2.02
1768,0.72
1771,-0.12
1778,-0.55
1780,-0.28
1782,-0.96
1784,0.43
1794,-1.76
1803,-2.4
1804,-1.87
1808,-2.59
1813,-1.56
1816,-1.98
1819,0.1
1825,-1.47
1832,-1.13
1833,-1.36
1834,-0.96
1839,-1.93
1840,-2.9
1842,-0.94
1844,-2
1846,-1.72
1847,-3.08
1854,-1.81
1855,-2.95
1857,-1.64
1863,-2.61
1864,-1.02
1865,-2.63
1869,3.49
1872,-1.41
1874,-1.5
1875,-2.66
1879,-0.89
1880,-1.17
1881,-0.5
1882,-1.78
1883,0.55
1884,1.88
1886,3.83
1894,-0.64
1896,-2.28
1902,1.04
1915,-2.85
1916,0.03
1918,-1.08
1919,-1.16
1921,-1.43
