INDEX,TARGET,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,2946,0,34,1,12,"$125,301",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,"$17,430",1,Sports Car,no,$0,0,No,0,7,Highly Urban/ Urban
2,6477,1,40,1,11,"$50,815",Yes,$0,z_No,M,z_High School,Manager,21,Private,"$18,930",6,Minivan,no,"$3,295",1,No,2,1,Highly Urban/ Urban
4,2501,0,34,0,10,"$62,978",No,$0,z_No,z_F,Bachelors,Clerical,34,Private,"$11,200",1,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban
5,6077,0,53,0,14,"$77,100",No,$0,z_No,z_F,Masters,Lawyer,15,Private,"$18,300",1,Sports Car,no,$0,0,No,0,11,Highly Urban/ Urban
6,1267,0,53,0,11,"$130,795",No,$0,z_No,M,PhD,,64,Commercial,"$28,340",6,Panel Truck,yes,$0,0,No,3,10,Highly Urban/ Urban
7,2920.16732,0,45,0,0,$0,No,"$106,859",Yes,z_F,<High School,Home Maker,48,Private,"$6,000",1,z_SUV,no,$0,0,No,3,5,Highly Urban/ Urban
8,4111,0,59,0,12,"$87,460",No,$0,z_No,M,z_High School,Manager,45,Private,"$15,420",1,Minivan,yes,"$44,857",2,No,4,1,Highly Urban/ Urban
11,5247,0,60,0,12,"$37,940",No,"$182,739",Yes,z_F,z_High School,z_Blue Collar,16,Commercial,"$11,290",1,Sports Car,no,$0,0,No,0,1,Highly Urban/ Urban
12,4486,0,32,1,9,"$31,275",No,"$118,160",Yes,z_F,z_High School,Clerical,26,Private,"$10,030",1,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban
13,4901,0,54,0,12,"$33,212",No,"$158,432",Yes,M,<High School,z_Blue Collar,27,Commercial,"$24,000",4,Panel Truck,no,$0,0,No,5,,Highly Urban/ Urban
14,6100,0,40,0,11,"$16,989",No,$0,z_No,M,<High School,z_Blue Collar,20,Commercial,"$12,230",4,Pickup,yes,"$26,104",1,Yes,13,6,Highly Urban/ Urban
15,6195,1,37,2,13,,Yes,$0,z_No,z_F,z_High School,z_Blue Collar,62,Commercial,"$9,360",4,Sports Car,no,$0,0,No,0,,Highly Urban/ Urban
16,8840.6835683,0,44,2,15,"$16,352",No,"$134,164",Yes,z_F,z_High School,Home Maker,37,Private,"$10,520",1,z_SUV,no,"$7,838",1,No,1,1,Highly Urban/ Urban
17,2117,1,45,1,14,"$63,952",No,"$196,368",Yes,z_F,Masters,Lawyer,50,Private,"$32,340",6,Van,no,"$27,877",2,Yes,0,13,Highly Urban/ Urban
19,3532,1,44,2,,"$24,060",Yes,$0,z_No,M,Bachelors,Clerical,24,Private,"$14,220",4,Minivan,no,$0,0,No,0,10,Highly Urban/ Urban
20,866,0,33,4,12,"$20,822",No,"$76,022",Yes,z_F,z_High School,Home Maker,46,Private,"$6,880",13,z_SUV,no,"$7,896",3,No,0,1,Highly Urban/ Urban
22,5426,0,35,2,12,,Yes,$0,z_No,z_F,<High School,z_Blue Collar,43,Private,"$9,730",5,z_SUV,no,$0,0,No,4,4,Highly Urban/ Urban
23,4148,2,43,3,11,"$137,103",Yes,$0,z_No,z_F,Masters,Manager,29,Private,"$19,510",1,Sports Car,no,"$8,890",3,No,0,15,Highly Urban/ Urban
24,2371,1,45,2,11,"$102,393",Yes,$0,z_No,M,Bachelors,Professional,25,Private,"$1,500",1,Minivan,yes,$0,0,No,2,11,Highly Urban/ Urban
25,4178,0,62,0,15,"$40,656",No,"$208,242",Yes,z_F,z_High School,Clerical,57,Private,"$9,170",4,Sports Car,no,"$42,342",2,Yes,2,7,Highly Urban/ Urban
26,4804,1,37,2,12,,No,"$205,211",Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,"$5,200",1,z_SUV,no,"$2,718",1,No,1,3,Highly Urban/ Urban
27,1354,0,48,0,12,"$31,773",No,"$165,090",Yes,M,z_High School,Clerical,14,Commercial,"$9,640",13,Pickup,no,"$1,212",1,No,4,1,Highly Urban/ Urban
