"INDEX","P_TARGET"
3,6175.47664544317
9,4616.67889110392
10,7242.88368612722
18,5921.70312586448
21,4459.64038783576
30,5647.8948547401
31,7373.00995501389
37,6635.16288924141
39,7773.16568514174
47,5912.25949105829
60,5208.8171034542
62,5789.72528211881
63,6820.40194496911
64,5088.03485321343
68,5456.45167330354
75,5541.04284649644
76,5883.3204054923
83,6668.45452565727
87,4993.42630424769
92,7482.18766292292
98,5423.0604207274
106,4103.56664318385
107,5567.75584855736
113,6460.31571793264
120,6944.48888028672
123,5236.069406301
125,5851.58149545458
126,5176.43927647031
128,6164.34622791779
129,5297.1870865303
131,4957.26966738059
135,4469.75737976889
141,5315.56949553757
147,5615.6166439165
148,7343.05744385566
151,7020.17571945931
156,5010.12193053576
157,6870.58843999361
174,4702.28348988907
186,6922.22804523596
193,5984.50758881298
195,6502.07200374321
212,5808.64699191196
213,5457.56471505608
217,7298.43615759384
223,5793.6037081623
226,5030.63080688781
228,4813.68728130317
230,4437.47916894529
241,6245.59827585307
243,4453.06175348082
249,6314.50724835014
281,4751.25732700075
288,5261.13006582349
294,6792.002160189
295,5165.9477758911
300,4606.66151533108
302,7299.54919934638
303,5912.79879184417
308,4937.77421662078
319,5794.71674991484
320,4879.8960454888
324,5435.30388000532
331,6087.44673083237
343,6887.72375090727
347,5625.53440352905
348,4941.0137257181
350,5740.85106116742
357,6076.31631330699
358,3814.17578752394
360,5780.82094809851
366,5015.04822235228
367,6013.44667437897
368,7768.13977716493
376,5088.03485321343
380,4392.95749884376
388,4386.27924832853
396,5180.89144348046
398,6263.40694389368
403,4247.14902926127
410,6257.84173513099
412,5633.99905292376
420,7406.40120759004
434,6877.26669050884
440,4904.857088851
450,5859.27317156205
453,6887.72375090727
464,5509.77806126508
465,6263.98068486034
466,5757.4470712952
473,5000.10455476292
476,6036.3464263759
478,4657.76181978754
479,6169.91143668048
493,5772.01623023849
497,6060.83334493174
503,5133.13026428161
504,6469.31966811323
505,6313.39420659761
507,7848.27878334767
513,5130.90418077653
519,6067.51159544697
521,5099.16527073881
522,5671.74285634977
