DSI_num,84,92,92-2,92-3,92-4,92-5,92-6,92-7,92-8,92-9,92-10,92-11,92-12,92-13,92-14
account,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
approach,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balance,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cause,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deficits,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
economists,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
investment,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
losses,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NorthKorea,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TradeAgreement,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
world,2,0,0,1,0,5,0,0,0,0,0,0,0,3,0
tariff,1,12,4,0,0,0,0,3,0,2,0,0,7,0,0
trade,13,0,0,0,0,0,0,2,5,0,0,0,5,7,0
stockmarket,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
aluminum,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0
steel,0,5,1,0,0,0,0,3,0,0,0,0,1,0,0
automobile,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
chancellorAngelaMerkel,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0
EU,0,0,1,2,0,0,0,4,0,0,0,0,0,5,0
Europeans,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
Asians,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
war,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
German,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Germans,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Germany,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
Russia,0,0,0,6,1,0,2,0,0,0,4,0,0,1,0
Syria,0,0,0,3,1,0,2,0,0,0,13,0,0,0,0
Syrian,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
West,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
chemicalWeaponsAttack,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
chemicalweapons,0,0,0,2,0,0,3,0,0,0,7,0,0,0,0
Iran,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Syrianwar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SaudiArabia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MiddleEast,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Russiainvestigation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
