DSI_num,84,92,92-2,92-3,92-4,92-5,92-6,92-7,92-8,92-9,92-10,92-11,92-12,92-13,92-14
world,2,0,0,1,0,5,0,0,0,0,0,0,0,3,0
tariff,1,12,4,0,0,0,0,3,0,2,0,0,7,0,0
trade,13,0,0,0,0,0,0,2,5,0,0,0,5,7,0
tradewar,0,4,1,0,0,0,0,0,0,2,0,0,4,0,0
stockmarket,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
aluminum,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0
steel,0,5,1,0,0,0,0,3,0,0,0,0,1,0,0
products,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Twitter,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
threat,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
chancellorAngelaMerkel,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
EU,0,0,2,2,0,3,0,4,0,0,0,0,0,5,0
Germans,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Germany,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
Putin,0,0,0,6,1,0,3,0,0,0,4,0,0,1,0
Russian,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
Syria,0,0,0,4,1,0,6,0,0,0,13,0,0,0,0
chemicalweapons,0,0,0,3,0,0,5,0,0,0,7,0,0,0,0
MiddleEast,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
France,0,0,0,1,16,0,0,0,0,0,0,0,0,3,0
Hollande,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0
climate,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
technology,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0
isolationistAmerica,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
attack,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0
military,0,0,0,0,0,0,6,0,3,0,2,2,0,0,0
strike,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0
PresidentBasharal-Assad,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
governmentalTradeAgreements,2,0,0,0,0,0,0,0,6,0,0,0,0,4,0
metalProducts,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0
manufacturedProducts,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0
tradeWar,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0
chineseExports,0,1.5,0,0,0,0,0,2,0,0,0,0,1.5,0,0
usExports,0,4,4,0,0,0,0,1,0,0,0,0,2,0,0
syrianWarUSAllies,0,0,0,4,0,0,10,0,0,0,2,0,0,0,0
syrianWarUSOpposition,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0
globalWarming,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0
russianResponseThreats,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
